Class,Lambda,Lambda_t,H,H_t,Zeta
3,0.416,0.384615385,1.38437673,1.334679141,1.542857143
3,0.296,0.307692308,1.06562554,1.140115679,1.1
3,0.272,0.230769231,1.027184084,0.991264261,0.666666667
3,0.192,0.153846154,0.861402006,0.773228349,0.24
1,0.144,0.076923077,0.594619344,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,2.002804633,2.199687795,2.8
3,0.872,0.846153846,2.253839197,2.295465679,4.6
3,0.792,0.769230769,2.213901983,2.23739741,2.7
3,0.672,0.692307692,2.203049079,2.199687795,2.8
3,0.624,0.615384615,2.160947102,2.133937566,3.25
3,0.48,0.538461538,1.874075847,1.987773371,2.16
3,0.456,0.461538462,1.834954229,1.88109476,2.766666667
1,0.376,0.384615385,1.490197278,1.546593564,2.714285714
1,0.232,0.307692308,1.054907289,1.352030102,1.475
1,0.224,0.230769231,1.036449637,1.145110414,0.266666667
1,0.176,0.153846154,0.772383768,0.773228349,0.24
1,0.024,0.076923077,0.163345543,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,2.015484177,2.199687795,2.8
4,0.84,0.846153846,2.197199442,2.257756064,4.9
3,0.72,0.769230769,2.226754445,2.257756064,5
3,0.696,0.692307692,2.205023852,2.16197818,3.933333333
3,0.672,0.615384615,2.197183064,2.133937566,4.15
3,0.592,0.538461538,1.944540564,1.987773371,2.24
3,0.448,0.461538462,1.720481946,1.88109476,2.966666667
3,0.4,0.384615385,1.575174432,1.700439718,1.314285714
1,0.28,0.307692308,1.301348407,1.505876256,0.275
1,0.272,0.230769231,1.237808139,1.145110414,0.266666667
1,0.128,0.153846154,0.674095106,0.773228349,0.24
1,0.048,0.076923077,0.277839574,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.965594742,2.199687795,3.033333333
3,0.968,0.846153846,2.055661046,2.257756064,3.333333333
3,0.888,0.769230769,2.118991543,2.199687795,2.233333333
3,0.88,0.692307692,2.124063857,2.16197818,3.133333333
3,0.832,0.615384615,2.187788348,2.133937566,2.9
1,0.688,0.538461538,2.208158037,2.045841641,3.28
1,0.608,0.461538462,1.921991518,1.727248606,3.2
1,0.488,0.384615385,1.759784648,1.546593564,2.342857143
1,0.344,0.307692308,1.417465133,1.352030102,1.3
1,0.32,0.230769231,1.368808395,1.145110414,0.266666667
1,0.168,0.153846154,0.798113368,0.773228349,0.24
1,0.12,0.076923077,0.529360865,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.862824214,2.199687795,2.933333333
3,0.944,0.846153846,2.045725203,2.295465679,5
3,0.896,0.769230769,2.019845596,2.295465679,5.1
4,0.752,0.692307692,2.137524459,2.257756064,4.966666667
2,0.608,0.615384615,1.97629214,2.133937566,4
2,0.584,0.538461538,1.869875476,1.987773371,1.7
1,0.464,0.461538462,1.72108544,1.88109476,1.533333333
1,0.312,0.384615385,1.412536438,1.700439718,0.885714286
1,0.232,0.307692308,1.042309636,1.352030102,0.85
1,0.224,0.230769231,0.978028471,0.991264261,0.866666667
1,0.2,0.153846154,0.916118214,0.773228349,0.24
1,0.12,0.076923077,0.529360865,0.391243564,0.218181818
1,0,0,0,0,0.2
4,0.992,0.923076923,1.886586302,2.16197818,3.4
2,0.872,0.846153846,1.937016403,2.16197818,3.6
2,0.848,0.769230769,1.841370521,1.950063756,2.8
2,0.84,0.692307692,1.843524408,1.950063756,3
2,0.76,0.615384615,1.804868829,1.884313528,3.6
3,0.64,0.538461538,1.856923564,1.833927218,3.58
3,0.488,0.461538462,1.748312954,1.727248606,4
3,0.464,0.384615385,1.687980631,1.546593564,2.342857143
3,0.416,0.307692308,1.604390494,1.352030102,1.3
3,0.272,0.230769231,1.082042739,0.991264261,1.266666667
3,0.128,0.153846154,0.674095106,0.773228349,0.24
3,0.08,0.076923077,0.40217919,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.805780674,2.038159682,2.583333333
3,0.872,0.846153846,1.762607545,1.884313528,4.183333333
3,0.728,0.769230769,1.84664095,1.922023143,3.65
3,0.704,0.692307692,1.858156586,1.950063756,3.733333333
3,0.656,0.615384615,1.753597906,1.826245258,1.95
3,0.648,0.538461538,1.754613244,1.775858948,1.68
3,0.568,0.461538462,1.666600075,1.669180337,1.4
1,0.488,0.384615385,1.627238688,1.546593564,1.142857143
1,0.368,0.307692308,1.277679356,1.352030102,0.5
1,0.224,0.230769231,1.036449637,1.145110414,0.266666667
1,0.072,0.153846154,0.439460621,0.773228349,0.24
1,0.024,0.076923077,0.163345543,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.938109333,2.16197818,3.2
3,0.872,0.846153846,1.988539433,2.16197818,3.4
3,0.848,0.769230769,1.892893551,1.950063756,2.6
3,0.704,0.692307692,1.984173367,1.950063756,2.566666667
3,0.624,0.615384615,1.919012764,1.922023143,2.75
3,0.576,0.538461538,1.861986155,1.775858948,1.86
3,0.552,0.461538462,1.822614405,1.669180337,2.666666667
2,0.408,0.384615385,1.62010291,1.546593564,3.314285714
1,0.328,0.307692308,1.388383794,1.352030102,1.875
2,0.32,0.230769231,1.368808395,1.145110414,0.266666667
1,0.2,0.153846154,0.880936151,0.773228349,0.24
1,0.048,0.076923077,0.277839574,0.391243564,0.218181818
1,0,0,0,0,0.2
2,0.992,0.923076923,1.60351529,1.914341184,1
3,0.872,0.846153846,1.924783599,2.038159682,2.75
3,0.824,0.769230769,1.776001834,1.826245258,2.15
3,0.744,0.692307692,1.799384261,1.826245258,2.116666667
3,0.664,0.615384615,1.533319854,1.548580607,1.95
3,0.616,0.538461538,1.492500446,1.460484681,1.95
3,0.472,0.461538462,1.447486029,1.419556299,2.066666667
3,0.328,0.384615385,1.23960203,1.334679141,2.385714286
3,0.304,0.307692308,1.190125647,1.140115679,1.375
3,0.28,0.230769231,1.133965073,0.991264261,1.844444444
1,0.16,0.153846154,0.680133068,0.773228349,0.22
1,0.152,0.076923077,0.614822757,0.391243564,0.218181818
1,0,0,0,0,0.2
2,0.992,0.923076923,1.528664834,1.669180337,1.866666667
3,0.872,0.846153846,1.890753621,1.833927218,2.74
3,0.752,0.769230769,1.890753621,1.833927218,3.44
3,0.608,0.692307692,1.895970523,1.884313528,3.283333333
2,0.584,0.615384615,1.878502269,1.884313528,3
2,0.504,0.538461538,1.684525621,1.738149333,1.56
4,0.352,0.461538462,1.390881533,1.669180337,1.3
4,0.344,0.384615385,1.366069867,1.546593564,1.342857143
2,0.264,0.307692308,1.211660685,1.352030102,0.5
1,0.12,0.230769231,0.645874937,0.991264261,0.466666667
1,0.072,0.153846154,0.439460621,0.773228349,0.24
1,0.048,0.076923077,0.277839574,0.391243564,0.218181818
1,0,0,0,0,0.2
4,0.992,0.923076923,1.966669345,2.16197818,2.666666667
3,0.968,0.846153846,2.041844328,2.257756064,5.1
3,0.92,0.769230769,2.100929332,2.257756064,4.7
3,0.912,0.692307692,2.118353789,2.257756064,4.2
3,0.888,0.615384615,2.115451503,2.133937566,2.4
3,0.768,0.538461538,2.02865479,1.987773371,1.08
1,0.648,0.461538462,1.965237299,1.823026491,0.8
2,0.504,0.384615385,1.534145059,1.488525295,0.742857143
2,0.352,0.307692308,1.390881533,1.352030102,1.1
2,0.208,0.230769231,1.059747146,1.145110414,0.266666667
1,0.16,0.153846154,0.794309555,0.773228349,0.24
1,0.08,0.076923077,0.40217919,0.391243564,0.218181818
1,0,0,0,0,0.2
2,0.992,0.923076923,1.599822849,2.038159682,3.016666667
2,0.944,0.846153846,1.744919512,2.133937566,3.15
3,0.896,0.769230769,1.878710758,2.199687795,3.666666667
3,0.872,0.692307692,1.837595589,2.10390991,1.333333333
3,0.728,0.615384615,2.008911551,2.075869297,1.3
2,0.72,0.538461538,2.005422422,1.987773371,1.08
3,0.576,0.461538462,1.974457212,1.88109476,1.2
3,0.456,0.384615385,1.56034257,1.546593564,1.142857143
3,0.376,0.307692308,1.409775738,1.352030102,0.9
2,0.296,0.230769231,1.265793472,1.145110414,0.266666667
1,0.176,0.153846154,0.772383768,0.773228349,0.24
1,0.024,0.076923077,0.163345543,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,2.013659295,2.16197818,2.066666667
3,0.944,0.846153846,2.16980493,2.257756064,4.333333333
3,0.8,0.769230769,2.209338823,2.199687795,2.933333333
3,0.68,0.692307692,2.048924198,2.10390991,2.2
3,0.528,0.615384615,1.925018651,2.075869297,2.4
1,0.48,0.538461538,1.694073107,1.775858948,2.3
1,0.4,0.461538462,1.354167403,1.457265914,2.233333333
1,0.28,0.384615385,0.99900937,1.334679141,3.285714286
1,0.136,0.307692308,0.680715752,1.198183948,4.05
1,0.056,0.230769231,0.366530146,0.991264261,2.422222222
1,0.032,0.153846154,0.230285571,0.773228349,0.2
1,0.008,0.076923077,0.067221545,0.391243564,0.2
1,0,0,0,0,0.2
1,0.992,0.923076923,1.773837724,2.199687795,1.9
1,0.944,0.846153846,1.916495296,2.257756064,2.7
1,0.92,0.769230769,1.871952924,2.199687795,3.2
1,0.896,0.692307692,1.918897165,2.199687795,2.633333333
2,0.752,0.615384615,2.012966048,2.133937566,2.95
2,0.632,0.538461538,1.871952924,1.987773371,1.84
2,0.584,0.461538462,1.85787768,1.88109476,1.566666667
1,0.44,0.384615385,1.693175328,1.700439718,1.314285714
1,0.32,0.307692308,1.430204971,1.505876256,0.275
1,0.24,0.230769231,1.061254793,1.145110414,0.244444444
1,0.232,0.153846154,0.997093854,0.773228349,0.24
1,0.08,0.076923077,0.40217919,0.391243564,0.218181818
1,0,0,0,0,0.2
3,0.992,0.923076923,1.510114543,1.987773371,2.96
3,0.872,0.846153846,1.671376022,2.045841641,3.56
2,0.72,0.769230769,1.895858724,2.133937566,3.45
2,0.696,0.692307692,1.840844405,2.038159682,1.783333333
2,0.672,0.615384615,1.854446951,2.038159682,1.483333333
3,0.592,0.538461538,1.601804451,1.891995487,0.773333333
3,0.544,0.461538462,1.380434344,1.573402452,0.7
2,0.464,0.384615385,1.054562632,1.238901257,0.647619048
2,0.456,0.307692308,0.994406653,0.89049164,0.633333333
2,0.312,0.230769231,0.895468641,0.779349837,0.566666667
1,0.192,0.153846154,0.705636606,0.619382195,0.84
1,0.144,0.076923077,0.594619344,0.391243564,0.218181818
1,0,0,0,0,0.2
